|Bank name|Customer name|Issue Type|Review|Review_Lemma|Keyword|Recency|Place|Sentiment|joy|sadness|fear|disgust|anger|Category|Issue type
0|Indian Bank|ANONYMS||I have used their Internet banking facility which is not that much convenient because it have a server error most of the times|i have use their Internet banking facility which be not that much convenient because it have a server error most of the time|time| Aug 27, 2019|  coimbatore|-0.878935|0.022108|0.620639|0.061752|0.06205|0.151841|Customer Service| Saving Account
1|Indian Bank|M N || Opened my savings account from Indian bank and i can deposit the bank by using the cash deposit machines hence i don't visit their branch most of times.|  open my saving account from Indian bank and i can deposit the bank by use the cash deposit machine hence i do n't visit their branch most of time .|time| Aug 22, 2019|  erode|-0.957121|0.023636|0.335188|0.018711|0.026515|0.091886|Customer Service| Saving Account
2|Indian Bank|RT||ATMs are available but most of time will not be open.|atm be available but most of time will not be open .|time| Aug 07, 2019|  pondicherry|-0.690143|0.174219|0.151545|0.093654|0.072945|0.08686|Customer Service| Saving Account
3|Indian Bank|SRIDHAR SUNDARAM||Response is nil with them like the staffs are not taking care of customers and they made customers to roam.|Response be nil with them like the staff be not take care of customer and they make customer to roam .|care of customer| Dec 23, 2015|  chennai|-0.851076|0.297525|0.186383|0.033697|0.223746|0.170897|Customer Service| Saving Account
5|Indian Bank|HARISH R||I did approach this Indian bank for personal loan but no response was given to me.|i do approach this Indian bank for personal loan but no response be give to me .|response| Dec 15, 2015|  bangalore|-0.784161|0.315538|0.179449|0.056345|0.089035|0.264938|Customer Service| Saving Account
6|Indian Bank|HARISH R||Suppose I do visit the branch, response is not up the mark so not using it often.|Suppose i do visit the branch , response be not up the mark so not use it often .|response| Dec 15, 2015|  bangalore|-0.82808|0.085329|0.228812|0.038334|0.050326|0.09053|Customer Service| Saving Account
7|Indian Bank|MEDVIN C||As response is very less.|as response be very less .|response| Dec 14, 2015|  chennai|-0.890004|0.134569|0.411567|0.113336|0.148107|0.215344|Customer Service| Saving Account
8|Indian Bank|MEDVIN C||Phone banking executives are not great in response.|Phone banking executive be not great in response .|response| Dec 14, 2015|  chennai|-0.904678|0.058095|0.090921|0.043334|0.056357|0.150586|Customer Service| Saving Account
9|Indian Bank|VINOTHKUMAR KUMAR KANAGARAJ||I felt the response provided was quite late.|i feel the response provide be quite late .|response| Dec 11, 2015|  chennai|-0.853889|0.340527|0.267184|0.237919|0.028358|0.096792|Customer Service| Education Loan
10|Indian Bank|AANANTHA PRAKASH||I am not happy with them in terms of customer service.|i be not happy with them in term of customer service .|term of customer service| Dec 08, 2015|  thane|-0.905959|0.076525|0.294792|0.010331|0.067444|0.032734|Customer Service| Saving Account
11|Indian Bank|HEMANTH SAMPATHKUMAR KUMAR||Once I have lost my ATM card and they have taken care and blocked the card immediately.|once i have lose my ATM card and they have take care and block the card immediately .|take care| Feb 24, 2016|  bangalore|-0.955719|0.014084|0.662849|0.106849|0.033691|0.371364|Customer Service| Saving Account
12|Indian Bank|VANIPENTA JAMALBASHA||The only disadvantage is they are deducting around rs 20 for all the transactions made through non Indian bank ATM machines.|the only disadvantage be they be deduct around r 20 for all the transaction make through non Indian bank ATM machine .|only disadvantage| Feb 22, 2016|  bangalore|-0.811856|0.06932|0.473462|0.067305|0.043351|0.156338|Customer Service| Saving Account
13|Indian Bank|GOMATHY RAVICHANDRAN||Response is an average one with them and the customer service too.|Response be an average one with them and the customer service too .|Response| Feb 17, 2016|  chennai|-0.518598|0.063412|0.128192|0.071227|0.038262|0.141344|Customer Service| Saving Account
14|Indian Bank|GOUTHAM D||and they do not response quickly to the customer.|and they do not response quickly to the customer .|response| Feb 15, 2016|  chennai|-0.935895|0.174219|0.151545|0.093654|0.072945|0.08686|Customer Service| Saving Account
15|Indian Bank|PRADEEP KUMAR P S|| My salary cum savings account belongs to Indian bank only and am having it from the last nine years of time.|  my salary cum saving account belong to Indian bank only and be have it from the last nine year of time .|year of time| Feb 09, 2016|  chennai|-0.425622|0.110116|0.660582|0.065289|0.039855|0.097044|Customer Service| Saving Account
16|Indian Bank|PRADEEP KUMAR P S||Advantage part is the one which they are belongs to nationalized one and the disadvantages like lack in response, customer service and there are no answer for the queries.|Advantage part be the one which they be belong to nationalize one and the disadvantage like lack in response , customer service and there be no answer for the query .|lack| Feb 09, 2016|  chennai|-0.909048|0.160631|0.468831|0.083962|0.034678|0.139574|Customer Service| Saving Account
18|Indian Bank|VENKATESHAM S||The response provide was not good in the bank visit and|the response provide be not good in the bank visit and|response| Jan 23, 2016|  chennai|-0.517779|0.266693|0.070241|0.034532|0.050917|0.055176|Customer Service| Saving Account
19|Indian Bank|SRIDHAR RAJAN||They have huge documentation part and very difficult difficult to avail a loan from Indian bank.|they have huge documentation part and very difficult difficult to avail a loan from Indian bank .|huge documentation part| Jan 21, 2016|  chennai|-0.786706|0.032658|0.716301|0.177419|0.039318|0.079566|Customer Service| Education Loan
20|Indian Bank|VARUN AGARWAL|| No much interaction with the Indian bank because everything will be sent on time.|  no much interaction with the Indian bank because everything will be send on time .|much interaction| Jan 08, 2016|  pune|-0.649721|0.194485|0.589433|0.120532|0.021545|0.139009|Customer Service| Saving Account
22|Indian Bank|VENAKATESH LR||The response is not good too.|the response be not good too .|response| Jan 07, 2016|  chennai|-0.910609|0.186158|0.148172|0.037993|0.129524|0.155387|Customer Service| Saving Account
23|Indian Bank|POTHARLA RUPESH||I never interacted with their customer service people also.|i never interact with their customer service people also .|customer service people| Jan 05, 2016|  hyderabad|-0.920411|0.18619|0.276497|0.029173|0.306937|0.172389|Customer Service| Saving Account
24|Indian Bank|ARUN R|| Response is not good with the Indian bank savings account like they made us to wait for so long time like even for passbook entry.|  Response be not good with the Indian bank saving account like they make us to wait for so long time like even for passbook entry .|long time| Dec 28, 2015|  thanjavur|-0.562235|0.306301|0.465295|0.086203|0.042103|0.145606|Customer Service| Saving Account
26|Indian Bank|SUNIL KUMAR MISHRA||I had requested for a replacement of the debit card last year and have still not got it.|i have request for a replacement of the debit card last year and have still not get it .|request| Mar 18, 2016|  hyderabad|-0.901859|0.035879|0.437132|0.068641|0.015646|0.046992|Customer Service| Saving Account
27|Indian Bank|SURESH KUMAR|| Based on the salaried account Indian bank has offered the loan to the existing customer with low interest rate.|  base on the salaried account Indian bank have offer the loan to the exist customer with low interest rate .|exist customer| Mar 17, 2016|  chennai|-0.736462|0.01488|0.372716|0.041085|0.128985|0.042358|Customer Service| Saving Account
28|Indian Bank|TITTYKURIAN KURIAN||The atms never work for any queries the response is not up to the mark.|the atm never work for any query the response be not up to the mark .|response| Mar 15, 2016|  chennai|-0.953371|0.050823|0.650286|0.116765|0.064554|0.039773|Customer Service| Saving Account
29|Indian Bank|TITTYKURIAN KURIAN||Or just to waste the time he is adopting this practice.|or just to waste the time he be adopt this practice .|time| Mar 15, 2016|  chennai|-0.801929|0.066597|0.168674|0.063312|0.279091|0.597199|Customer Service| Saving Account
30|Indian Bank|NAGARAJ S|| Indian bank is not good for banking because their technology is not advanced so as a savings account user it is very difficult to do transactions.|  Indian bank be not good for banking because their technology be not advanced so as a saving account user it be very difficult to do transaction .|account user| Mar 12, 2016|  kanchipuram|-0.949137|0.045297|0.499941|0.039285|0.005799|0.119933|Customer Service| Saving Account
31|Indian Bank|SILAMBARASAN||My experience was not good on that time.|my experience be not good on that time .|time| Mar 10, 2016|  salem|-0.923797|0.199871|0.274897|0.075128|0.038926|0.116417|Customer Service| Two Wheeler Loan
32|Indian Bank|SILAMBARASAN||Quiet difficult to avail loan from them because they have lots of procedure but|Quiet difficult to avail loan from them because they have lot of procedure but|lot of procedure| Mar 10, 2016|  salem|-0.683973|0.063731|0.24288|0.148632|0.02804|0.064294|Customer Service| Two Wheeler Loan
33|Indian Bank|REKHA PASUPATHY||On reaching the branch for any banking queries, the response was poor from the executives.|on reach the branch for any banking query , the response be poor from the executive .|response| Mar 07, 2016|  chennai|-0.847004|0.009258|0.407648|0.209571|0.232444|0.165268|Customer Service| Saving Account
34|Indian Bank|MOHAMMED OWAIS||They are slow in their response.|they be slow in their response .|response| Mar 07, 2016|  hyderabad|-0.79003|0.0229|0.630926|0.109686|0.092786|0.332063|Customer Service| Saving Account
35|Indian Bank|BALA SUBRAMANIAN|| I have a Fixed deposit scheme with Indian Bank which I have been taking and reinvesting in it for a couple of times.|  i have a fix deposit scheme with Indian Bank which i have be take and reinveste in it for a couple of time .|couple of time| May 04, 2016|  coimbatore|-0.495188|0.093873|0.575977|0.052943|0.021355|0.102619|Customer Service| Fixed Deposit
36|Indian Bank|VIJAYAKUMAR NARAYANASWAMY||Response used to delay with them and the customer service is not a good one with them.|Response use to delay with them and the customer service be not a good one with them .|Response use| Apr 06, 2016|  karur|-0.937722|0.030476|0.362887|0.013151|0.133579|0.23186|Customer Service| Saving Account
37|Indian Bank|RAMANUJAM N||The response with Indian bank is not up to the mark.|the response with Indian bank be not up to the mark .|response| Mar 20, 2017|  chennai|-0.801043|0.126925|0.620805|0.051098|0.09725|0.151851|Customer Service| Saving Account
38|Indian Bank|RAMANUJAM N||When compared with other banks like SBI they are issuing 3 months salary as a kit loan to their existing customers,which is not applicable here.|when compare with oth bank like SBI they be issue 3 month salary as a kit loan to their exist customer , which be not applicable here .|exist customer| Mar 20, 2017|  chennai|-0.912323|0.065112|0.398454|0.008982|0.135632|0.086794|Customer Service| Saving Account
39|Indian Bank|MOHAMED NASAR ABDUL RAHMAN||The reason for DE-activating this account is because, their customer service is not up to the mark, Bank staff were not helpful.|the reason for DE - activate this account be because , their customer service be not up to the mark , Bank staff be not helpful .|reason| Feb 15, 2017|  chennai|-0.990488|0.48168|0.312902|0.148655|0.079616|0.035844|Customer Service| Saving Account
40|Indian Bank|MALLIKARJUNAN KRISHNAN||No drawback till date as I am a staff of that particular bank|no drawback till date as i be a staff of that particular bank|staff of that particular bank| Jan 17, 2017|  chennai|-0.602356|0.126852|0.158386|0.023446|0.108205|0.052838|Customer Service| Saving Account
41|Indian Bank|PULAMADAN PILLAI SUDALAIMUTHU||The services and response they provide is not up to the mark, and the way they treat a customer at the bank is not professional.|the service and response they provide be not up to the mark , and the way they treat a customer at the bank be not professional .|response| Dec 08, 2016|  chennai|-0.849092|0.101078|0.071749|0.004154|0.146896|0.114251|Customer Service| Saving Account
43|Indian Bank|ANILKUMAR DAKSHAN MHASKE|| Following the recent demonetisation of changing old currency, it was a very difficult process at Indian Bank.|  follow the recent demonetisation of change old currency , it be a very difficult proces at Indian Bank .|recent demonetisation of change| Nov 17, 2016|  pune|-0.759288|0.154689|0.202064|0.153222|0.011518|0.067917|Customer Service| Saving Account
44|Indian Bank|ANILKUMAR DAKSHAN MHASKE||The services and response was slow and it was not helpful for a lot of customers.|the service and response be slow and it be not helpful for a lot of customer .|lot of customer| Nov 17, 2016|  pune|-0.911614|0.050202|0.648066|0.05753|0.095871|0.318919|Customer Service| Saving Account
46|Indian Bank|ANILKUMAR DAKSHAN MHASKE||and I prefer not recommend the bank for the slow services.|and i prefer not recommend the bank for the slow service .|slow service| Nov 17, 2016|  pune|-0.774743|0.02308|0.681456|0.067516|0.067215|0.300315|Customer Service| Saving Account
47|Indian Bank|VENKATESH PENCHALAIAH POLICHERLA||and it takes hardly a week's time for one to issue a cheque book|and it take hardly a week 's time for one to issue a cheque book|week 's time| Nov 03, 2016|  pune|-0.528819|0.230343|0.341463|0.054827|0.057435|0.136463|Customer Service| Saving Account
48|Indian Bank|ANNAMALAI KUMARESAN||But this bank is not where all my transactions takes place.|but this bank be not where all my transaction take place .|transaction take place| Apr 17, 2017|  chennai|-0.585174|0.140239|0.12834|0.03167|0.038871|0.206934|Customer Service| Saving Account
49|Indian Bank|MANOHARAN D||"Rate of interest was around charged by the bank was around 11% to 12% before five years of time.
 "|"Rate of interest be around charge by the bank be around 11 % to 12 % before five year of time . 
 "|year of time| Jun 02, 2017|  bangalore|-0.38639|0.153432|0.235909|0.065933|0.042641|0.191465|Customer Service| Saving Account
50|Indian Bank|DEEPAK V|| The Indian bank customer service is not up to the mark, because when I go visit the Indian bank branch, they wont give proper response to the customers and they will ask us to come in their free time to do any kind of banking process.|  the Indian bank customer service be not up to the mark , because when i go visit the Indian bank branch , they wo nt give prop response to the customer and they will ask us to come in their free time to do any kind of banking proces .|free time| May 31, 2017|  chennai|-0.836037|0.260674|0.194408|0.037922|0.04139|0.238636|Customer Service| Saving Account
52|Indian Bank|ANBU PRABU||The reason is INDIAN bank least bother to address the customer on their queries.|the reason be INDIAN bank least bother to addres the customer on their query .|least bother| May 27, 2017|  chennai|-0.786828|0.036621|0.572286|0.138458|0.071545|0.452263|Customer Service| Saving Account
54|Indian Bank|ANBU PRABU||but when I approach the bank I did not receive any kind of response from them.|but when i approach the bank i do not receive any kind of response from them .|kind of response| May 27, 2017|  chennai|-0.848707|0.335819|0.241194|0.233979|0.031341|0.07189|Customer Service| Saving Account
55|Indian Bank|VIGNESH S||The customer services and response has been on the average side.|the customer service and response have be on the average side .|response| May 24, 2017|  chennai|-0.317175|0.046444|0.099327|0.05995|0.072228|0.125868|Customer Service| Saving Account
56|Indian Bank|RAMBAHADUR SONI||It is not the same as earlier days to stand in long queues for cash deposits.|it be not the same as early day to stand in long queue for cash deposit .|early day| Oct 28, 2016|  udaipur|-0.559765|0.084188|0.340011|0.064166|0.091402|0.140292|Customer Service| Saving Account
58|Indian Bank|SREENIVASAN RAGHURAMAN|| Indian bank account service is far better when compared with SBI, SBI does not respond on time.|  Indian bank account service be far well when compare with SBI , SBI do not respond on time .|time| Oct 21, 2016|  chennai|-0.861599|0.404375|0.373747|0.068636|0.043311|0.092262|Customer Service| Saving Account
59|Indian Bank|SREENIVASAN RAGHURAMAN||I did not any sort of challenge with them till date|i do not any sort of challenge with them till date|sort of challenge| Oct 21, 2016|  chennai|-0.57273|0.398729|0.161084|0.129668|0.117465|0.021223|Customer Service| Saving Account
60|Indian Bank|RAVISANKAR ELUMALAI||and I have not had any inconvenience in banking with them when I visit the branch for a query or submission of my documents to get my personal details updated.|and i have not have any inconvenience in banking with them when i visit the branch for a query or submission of my document to get my personal detail update .|submission of my document| Sep 03, 2016|  chennai|-0.708132|0.055747|0.098642|0.059491|0.031273|0.053251|Customer Service| Saving Account
62|Indian Bank|RAKESH KUMAR||and I do not have to wait for long hours at the bank for any kind of transactions.|and i do not have to wait for long hour at the bank for any kind of transaction .|long hour| Jul 22, 2016|  vadodara|-0.616909|0.264468|0.203475|0.066389|0.03492|0.273609|Customer Service| Saving Account
64|Indian Bank|RANJITH RAJU|| There is no support from the bank end since its a government bank service.|  there be no support from the bank end since its a government bank service .|support| Jun 23, 2016|  karur|-0.682304|0.054914|0.598527|0.069853|0.146297|0.242512|Customer Service| Saving Account
65|Indian Bank|RANJITH RAJU||Their ATM machines available are very less with Indian Bank and they have to improve on the customer support offered to the customer.|their ATM machine available be very less with Indian Bank and they have to improve on the customer support offer to the customer .|customer support offer| Jun 23, 2016|  karur|-0.668467|0.056507|0.475172|0.040522|0.013431|0.05373|Customer Service| Saving Account
66|Indian Bank|GAYATHRI KUMARSWAMY|| The reason for shifting over my salary account from INDIAN bank to another bank was because my salary was getting credited to a different bank and that is the reason why.|  the reason for shift over my salary account from INDIAN bank to another bank be because my salary be get credit to a different bank and that be the reason why .|reason| Aug 10, 2017|  coimbatore|-0.40528|0.054933|0.675189|0.132894|0.062315|0.162864|Customer Service| Saving Account
67|Indian Bank|V PREMALATHA PREMALATHA||I did not avail any kind of loans or credit card from the bank at any time.|i do not avail any kind of loan or credit card from the bank at any time .|time| Jul 05, 2017|  coimbatore|-0.908592|0.040784|0.305387|0.031864|0.012475|0.114743|Customer Service| Saving Account
68|Indian Bank|MUTHURAMALINGAM M||but I did not avail any kind of offers from the bank as there is no need.|but i do not avail any kind of offer from the bank as there be no need .|kind of offer| Jun 24, 2017|  madurai|-0.903857|0.339496|0.212666|0.048083|0.037779|0.088899|Customer Service| Saving Account
